year,iso_o,iso_d,dist,lndist,trade_o,asean_FTA,contig,comlang_off,comcol,comrelig,gdp_o,gdp_d,rta,home,flow,asean,tariff,reporter_prevalence_score,partner_prevalence_score,international,concat
2021,MMR,LAO,697,6.546785411,532.253,1,1,0,0,0.000496,65100000,18800000,1,0,532.253,1,8.3125,2.6,3.2,1,MMRLAO
2021,MMR,MMR,309,5.733341277,0,1,0,0,0,0.002401,65100000,65100000,0,1,0,1,0,0,0,0,MMRMMR
2021,MMR,MYS,1628,7.395107547,198246.23,1,0,0,1,0.018484,65100000,373000000,1,0,198246.23,1,6.05404,2.6,2.4,1,MMRMYS
2021,MMR,PHL,2670,7.889833751,124250.91,1,0,0,0,0.010333,65100000,394000000,1,0,124250.91,1,6.94174,2.6,4,1,MMRPHL
2021,MMR,SGP,1912,7.555905094,337356.57,1,0,0,1,0.007519,65100000,397000000,1,0,337356.57,1,6.40046,2.6,2.6,1,MMRSGP
2021,MMR,THA,580,6.363028104,3256793.3,1,1,0,0,0.001504,65100000,506000000,1,0,3256793.3,1,6.21276,2.6,2.1,1,MMRTHA
2021,MMR,USA,13556,9.514584533,835157.05,1,0,0,0,0.01694,65100000,23000000000,0,0,835157.05,1,5.4467,2.6,4.1,1,MMRUSA
2021,MMR,VNM,1319,7.184629153,230092.72,1,0,0,0,0.000775,65100000,363000000,1,0,230092.72,1,6.81747,2.6,5,1,MMRVNM
2021,MYS,ARE,5531,8.61812391,2684081.3,0,0,0,1,0.46896,373000000,41500000,0,0,2684081.3,0,5.25901,2.4,3.4,1,MYSARE
2021,MYS,AUS,6358,8.757469141,6833089.8,0,0,0,0,0.012566,373000000,1540000000,1,0,6833089.8,0,4.98232,2.4,3.5,1,MYSAUS
2021,MYS,BRN,1486,7.303843225,552205.81,1,1,1,1,0.318198,373000000,14000000,1,0,552205.81,1,5.04417,2.4,2.4,1,MYSBRN
2021,MYS,CHN,3737,8.226038429,33686783,0,0,1,0,0.011856,373000000,17700000000,1,0,33686783,0,5.54678,2.4,6.8,1,MYSCHN
2021,MYS,IDN,1182,7.074963198,7427500.9,1,1,0,0,0.215824,373000000,1190000000,1,0,7427500.9,1,6.48649,2.4,3,1,MYSIDN
2021,MYS,IND,3834,8.251663924,9062269.5,1,0,0,1,0.057822,373000000,3170000000,1,0,9062269.5,1,5.25205,2.4,4.9,1,MYSIND
2021,MYS,JPN,5315,8.578288291,15647020,0,0,0,0,0.000294,373000000,4940000000,1,0,15647020,0,5.55956,2.4,3.3,1,MYSJPN
2021,MYS,KHM,997,6.90475077,602298.21,1,0,0,0,0.011898,373000000,27000000,1,0,602298.21,1,3.81658,2.4,4.4,1,MYSKHM
2021,MYS,LAO,1643,7.404279118,8085.493,1,0,0,0,0.005192,373000000,18800000,1,0,8085.493,1,4.04826,2.4,3.2,1,MYSLAO
2021,MYS,MMR,1628,7.395107547,667516.99,1,0,0,1,0.018484,373000000,65100000,1,0,667516.99,1,2.71963,2.4,2.6,1,MYSMMR
2021,MYS,MYS,216,5.375278408,654004,1,0,0,0,0.245016,373000000,373000000,0,1,654004,1,0,0,0,0,MYSMYS
2021,MYS,PHL,2469,7.811568489,4387016.4,1,0,0,0,0.045322,373000000,394000000,1,0,4387016.4,1,6.29036,2.4,4,1,MYSPHL
2021,MYS,SGP,316,5.755742214,32973807,1,0,1,1,0.087636,373000000,397000000,1,0,32973807,1,5.60563,2.4,2.6,1,MYSSGP
